timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554447544068,73,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,73,0,37
1554447544141,35,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,240,254,2,2,http://104.248.249.47/student/post,35,0,0
1554447544176,34,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,446,126,2,2,http://104.248.249.47/student/get,34,0,0
1554447544167,59,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,59,0,30
1554447544210,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=4,34,0,0
1554447544227,29,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,240,254,1,1,http://104.248.249.47/student/post,29,0,0
1554447544256,30,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,446,126,2,2,http://104.248.249.47/student/get,30,0,0
1554447544286,30,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,4662,135,2,2,http://104.248.249.47/student/GetHtml?id=5,30,0,0
1554447544267,70,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,69,0,34
1554447544337,35,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,240,254,2,2,http://104.248.249.47/student/post,35,0,0
1554447544372,33,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,446,126,2,2,http://104.248.249.47/student/get,33,0,0
1554447544367,59,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,59,0,30
1554447544407,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,4621,136,2,2,http://104.248.249.47/student/GetHtml?id=42,34,0,0
1554447544428,27,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,240,254,1,1,http://104.248.249.47/student/post,27,0,0
1554447544455,28,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,446,126,2,2,http://104.248.249.47/student/get,28,0,0
1554447544483,28,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,4621,137,2,2,http://104.248.249.47/student/GetHtml?id=-42,28,0,0
1554447544469,71,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,70,0,35
1554447544540,35,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,240,254,2,2,http://104.248.249.47/student/post,35,0,0
1554447544575,35,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,446,126,2,2,http://104.248.249.47/student/get,35,0,0
1554447544567,60,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,60,0,31
1554447544611,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,34,0,0
1554447544628,26,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,240,254,1,1,http://104.248.249.47/student/post,26,0,0
1554447544655,27,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,446,126,2,2,http://104.248.249.47/student/get,27,0,0
1554447544683,31,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=2,31,0,0
1554447544668,69,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-7,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,69,0,34
1554447544737,36,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-7,text,true,,240,254,2,2,http://104.248.249.47/student/post,36,0,0
1554447544773,35,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-7,text,true,,446,126,2,2,http://104.248.249.47/student/get,35,0,0
1554447544768,59,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-8,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,59,0,30
1554447544808,35,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-7,text,true,,4666,135,2,2,http://104.248.249.47/student/GetHtml?id=3,35,0,0
1554447544828,29,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-8,text,true,,240,254,1,1,http://104.248.249.47/student/post,29,0,0
1554447544857,27,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-8,text,true,,446,126,2,2,http://104.248.249.47/student/get,27,0,0
1554447544885,28,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-8,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=4,28,0,0
1554447544868,63,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-9,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,63,0,33
1554447544931,30,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-9,text,true,,240,254,1,1,http://104.248.249.47/student/post,30,0,0
1554447544961,28,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-9,text,true,,446,126,2,2,http://104.248.249.47/student/get,28,0,0
1554447544989,29,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-9,text,true,,4662,135,2,2,http://104.248.249.47/student/GetHtml?id=5,29,0,0
1554447544969,70,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-10,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,70,0,35
1554447545040,33,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-10,text,true,,240,254,2,2,http://104.248.249.47/student/post,33,0,0
1554447545073,36,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-10,text,true,,446,126,2,2,http://104.248.249.47/student/get,36,0,0
1554447545068,57,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-11,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,57,0,28
1554447545109,36,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-10,text,true,,4621,136,2,2,http://104.248.249.47/student/GetHtml?id=42,36,0,0
1554447545125,30,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-11,text,true,,240,254,1,1,http://104.248.249.47/student/post,30,0,0
1554447545155,27,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-11,text,true,,446,126,2,2,http://104.248.249.47/student/get,27,0,0
1554447545183,28,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-11,text,true,,4621,137,2,2,http://104.248.249.47/student/GetHtml?id=-42,28,0,0
1554447545169,70,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-12,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,70,0,35
1554447545240,35,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-12,text,true,,240,254,2,2,http://104.248.249.47/student/post,35,0,0
1554447545275,35,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-12,text,true,,446,126,2,2,http://104.248.249.47/student/get,35,0,0
1554447545268,57,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-13,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,57,0,28
1554447545311,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-12,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,34,0,0
1554447545325,29,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-13,text,true,,240,254,1,1,http://104.248.249.47/student/post,29,0,0
1554447545355,28,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-13,text,true,,446,126,2,2,http://104.248.249.47/student/get,28,0,0
1554447545383,28,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-13,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=2,28,0,0
1554447545368,70,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-14,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,70,0,34
1554447545438,35,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-14,text,true,,240,254,2,2,http://104.248.249.47/student/post,35,0,0
1554447545473,36,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-14,text,true,,446,126,2,2,http://104.248.249.47/student/get,36,0,0
1554447545468,73,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-15,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,73,0,36
1554447545509,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-14,text,true,,4666,135,2,2,http://104.248.249.47/student/GetHtml?id=3,34,0,0
1554447545541,36,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-15,text,true,,240,254,2,2,http://104.248.249.47/student/post,36,0,0
1554447545578,34,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-15,text,true,,446,126,2,2,http://104.248.249.47/student/get,34,0,0
1554447545567,77,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-16,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,77,0,38
1554447545613,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-15,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=4,34,0,0
1554447545644,35,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-16,text,true,,240,254,2,2,http://104.248.249.47/student/post,35,0,0
1554447545679,35,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-16,text,true,,446,126,2,2,http://104.248.249.47/student/get,35,0,0
1554447545668,57,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-17,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,57,0,28
1554447545714,35,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-16,text,true,,4662,135,2,2,http://104.248.249.47/student/GetHtml?id=5,35,0,0
1554447545725,29,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-17,text,true,,240,254,1,1,http://104.248.249.47/student/post,29,0,0
1554447545754,30,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-17,text,true,,446,126,2,2,http://104.248.249.47/student/get,30,0,0
1554447545784,38,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-17,text,true,,4621,136,2,2,http://104.248.249.47/student/GetHtml?id=42,38,0,0
1554447545768,69,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-18,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,69,0,34
1554447545838,37,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-18,text,true,,240,254,2,2,http://104.248.249.47/student/post,37,0,0
1554447545875,33,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-18,text,true,,446,126,2,2,http://104.248.249.47/student/get,33,0,0
1554447545868,57,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-19,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,57,0,28
1554447545909,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-18,text,true,,4621,137,2,2,http://104.248.249.47/student/GetHtml?id=-42,34,0,0
1554447545925,28,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-19,text,true,,240,254,1,1,http://104.248.249.47/student/post,28,0,0
1554447545953,29,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-19,text,true,,446,126,2,2,http://104.248.249.47/student/get,29,0,0
