timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554454091810,74,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,74,0,36
1554454091885,41,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,240,254,2,2,http://104.248.249.47/student/post,41,0,0
1554454091926,37,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,446,126,2,2,http://104.248.249.47/student/get,37,0,0
1554454091908,60,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,60,0,30
1554454091969,35,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,240,254,3,3,http://104.248.249.47/student/post,35,0,0
1554454091965,39,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,4664,135,3,3,http://104.248.249.47/student/GetHtml?id=4,39,0,0
1554454092005,33,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,446,126,2,2,http://104.248.249.47/student/get,33,0,0
1554454092041,32,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,4662,135,2,2,http://104.248.249.47/student/GetHtml?id=5,32,0,0
1554454092002,78,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,78,0,40
1554454092082,36,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,240,254,2,2,http://104.248.249.47/student/post,36,0,0
1554454092120,40,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,446,126,2,2,http://104.248.249.47/student/get,40,0,0
1554454092122,67,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,67,0,34
1554454092163,37,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,4621,136,2,2,http://104.248.249.47/student/GetHtml?id=42,37,0,0
1554454092192,34,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,240,254,2,2,http://104.248.249.47/student/post,34,0,0
1554454092228,30,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,446,126,2,2,http://104.248.249.47/student/get,30,0,0
1554454092206,64,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,64,0,32
1554454092259,32,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,4621,137,2,2,http://104.248.249.47/student/GetHtml?id=-42,32,0,0
1554454092271,30,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,240,254,2,2,http://104.248.249.47/student/post,30,0,0
1554454092302,29,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,446,126,2,2,http://104.248.249.47/student/get,29,0,0
1554454092333,36,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,36,0,0
1554454092301,73,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,73,0,37
1554454092375,38,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,240,254,1,1,http://104.248.249.47/student/post,38,0,0
1554454092414,38,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,446,126,2,2,http://104.248.249.47/student/get,38,0,0
1554454092455,38,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=2,38,0,0
1554454092417,77,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-7,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,77,0,39
1554454092496,39,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-7,text,true,,240,254,2,2,http://104.248.249.47/student/post,39,0,0
1554454092536,38,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-7,text,true,,446,126,2,2,http://104.248.249.47/student/get,38,0,0
1554454092518,76,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-8,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,76,0,38
1554454092576,39,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-7,text,true,,4666,135,2,2,http://104.248.249.47/student/GetHtml?id=3,39,0,0
1554454092596,38,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-8,text,true,,240,254,2,2,http://104.248.249.47/student/post,38,0,0
1554454092635,37,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-8,text,true,,446,126,2,2,http://104.248.249.47/student/get,36,0,0
1554454092619,63,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-9,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,63,0,32
1554454092673,38,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-8,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=4,37,0,0
1554454092683,33,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-9,text,true,,240,254,2,2,http://104.248.249.47/student/post,33,0,0
1554454092717,31,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-9,text,true,,446,126,2,2,http://104.248.249.47/student/get,31,0,0
1554454092751,33,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-9,text,true,,4662,135,2,2,http://104.248.249.47/student/GetHtml?id=5,33,0,0
1554454092718,78,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-10,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,78,0,40
1554454092796,37,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-10,text,true,,240,254,2,2,http://104.248.249.47/student/post,37,0,0
1554454092834,37,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-10,text,true,,446,126,2,2,http://104.248.249.47/student/get,37,0,0
1554454092814,64,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-11,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,64,0,31
1554454092879,32,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-11,text,true,,240,254,2,2,http://104.248.249.47/student/post,32,0,0
1554454092874,41,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-10,text,true,,4621,136,3,3,http://104.248.249.47/student/GetHtml?id=42,41,0,0
1554454092912,31,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-11,text,true,,446,126,2,2,http://104.248.249.47/student/get,31,0,0
1554454092945,37,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-11,text,true,,4621,137,2,2,http://104.248.249.47/student/GetHtml?id=-42,37,0,0
1554454092917,78,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-12,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,78,0,40
1554454092996,39,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-12,text,true,,240,254,2,2,http://104.248.249.47/student/post,39,0,0
1554454093036,36,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-12,text,true,,446,126,2,2,http://104.248.249.47/student/get,36,0,0
1554454093015,75,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-13,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,75,0,37
1554454093074,39,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-12,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,39,0,0
1554454093091,38,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-13,text,true,,240,254,2,2,http://104.248.249.47/student/post,37,0,0
1554454093130,36,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-13,text,true,,446,126,2,2,http://104.248.249.47/student/get,36,0,0
1554454093117,70,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-14,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,70,0,32
1554454093169,39,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-13,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=2,39,0,0
1554454093190,32,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-14,text,true,,240,254,2,2,http://104.248.249.47/student/post,32,0,0
1554454093223,31,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-14,text,true,,446,126,2,2,http://104.248.249.47/student/get,31,0,0
1554454093217,62,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-15,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,62,0,30
1554454093256,32,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-14,text,true,,4666,135,2,2,http://104.248.249.47/student/GetHtml?id=3,32,0,0
1554454093281,30,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-15,text,true,,240,254,1,1,http://104.248.249.47/student/post,29,0,0
1554454093312,29,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-15,text,true,,446,126,2,2,http://104.248.249.47/student/get,29,0,0
1554454093344,32,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-15,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=4,32,0,0
1554454093318,75,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-16,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,75,0,37
1554454093395,36,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-16,text,true,,240,254,2,2,http://104.248.249.47/student/post,36,0,0
1554454093432,37,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-16,text,true,,446,126,2,2,http://104.248.249.47/student/get,37,0,0
1554454093419,64,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-17,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,64,0,33
1554454093472,38,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-16,text,true,,4662,135,2,2,http://104.248.249.47/student/GetHtml?id=5,38,0,0
1554454093485,33,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-17,text,true,,240,254,1,1,http://104.248.249.47/student/post,33,0,0
1554454093519,30,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-17,text,true,,446,126,2,2,http://104.248.249.47/student/get,30,0,0
1554454093553,30,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-17,text,true,,4621,136,2,2,http://104.248.249.47/student/GetHtml?id=42,30,0,0
1554454093528,60,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-18,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,60,0,31
1554454093588,33,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-18,text,true,,240,254,2,2,http://104.248.249.47/student/post,32,0,0
1554454093622,31,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-18,text,true,,446,126,2,2,http://104.248.249.47/student/get,31,0,0
1554454093655,33,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-18,text,true,,4621,137,2,2,http://104.248.249.47/student/GetHtml?id=-42,32,0,0
1554454093624,75,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-19,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,75,0,37
1554454093700,36,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-19,text,true,,240,254,2,2,http://104.248.249.47/student/post,36,0,0
1554454093737,36,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-19,text,true,,446,126,2,2,http://104.248.249.47/student/get,35,0,0
1554454093708,69,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-20,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,68,0,38
1554454093777,34,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-20,text,true,,240,254,3,3,http://104.248.249.47/student/post,34,0,0
1554454093774,44,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-19,text,true,,4663,135,3,3,http://104.248.249.47/student/GetHtml?id=1,44,0,0
1554454093812,31,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-20,text,true,,446,126,2,2,http://104.248.249.47/student/get,31,0,0
1554454093845,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-20,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=2,34,0,0
1554454093808,71,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-21,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,71,0,40
1554454093880,32,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-21,text,true,,240,254,2,2,http://104.248.249.47/student/post,32,0,0
1554454093914,33,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-21,text,true,,446,126,2,2,http://104.248.249.47/student/get,32,0,0
1554454093910,67,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-22,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,67,0,36
1554454093948,33,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-21,text,true,,4666,135,2,2,http://104.248.249.47/student/GetHtml?id=3,33,0,0
1554454093978,33,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-22,text,true,,240,254,2,2,http://104.248.249.47/student/post,33,0,0
1554454094013,32,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-22,text,true,,446,126,2,2,http://104.248.249.47/student/get,32,0,0
1554454094047,34,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-22,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=4,34,0,0
1554454094008,78,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-23,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,78,0,37
1554454094087,35,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-23,text,true,,240,254,2,2,http://104.248.249.47/student/post,35,0,0
1554454094123,38,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-23,text,true,,446,126,2,2,http://104.248.249.47/student/get,37,0,0
1554454094103,77,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-24,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,77,0,38
1554454094163,38,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-23,text,true,,4662,135,2,2,http://104.248.249.47/student/GetHtml?id=5,38,0,0
1554454094181,36,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-24,text,true,,240,254,2,2,http://104.248.249.47/student/post,35,0,0
1554454094217,35,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-24,text,true,,446,126,2,2,http://104.248.249.47/student/get,35,0,0
1554454094206,75,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-25,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,75,0,37
1554454094253,36,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-24,text,true,,4621,136,2,2,http://104.248.249.47/student/GetHtml?id=42,36,0,0
1554454094282,34,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-25,text,true,,240,254,2,2,http://104.248.249.47/student/post,34,0,0
1554454094317,35,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-25,text,true,,446,126,2,2,http://104.248.249.47/student/get,35,0,0
1554454094306,63,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-26,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,63,0,31
1554454094353,36,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-25,text,true,,4621,137,2,2,http://104.248.249.47/student/GetHtml?id=-42,36,0,0
1554454094369,29,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-26,text,true,,240,254,1,1,http://104.248.249.47/student/post,29,0,0
1554454094398,30,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-26,text,true,,446,126,2,2,http://104.248.249.47/student/get,30,0,0
1554454094428,31,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-26,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,31,0,0
1554454094405,74,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-27,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,74,0,36
1554454094479,37,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-27,text,true,,240,254,2,2,http://104.248.249.47/student/post,37,0,0
1554454094517,35,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-27,text,true,,446,126,2,2,http://104.248.249.47/student/get,34,0,0
1554454094506,61,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-28,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,61,0,29
1554454094552,37,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-27,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=2,37,0,0
1554454094567,29,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-28,text,true,,240,254,1,1,http://104.248.249.47/student/post,29,0,0
1554454094596,29,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-28,text,true,,446,126,2,2,http://104.248.249.47/student/get,29,0,0
1554454094626,31,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-28,text,true,,4666,135,2,2,http://104.248.249.47/student/GetHtml?id=3,31,0,0
1554454094605,74,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-29,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,74,0,36
1554454094679,38,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-29,text,true,,240,254,2,2,http://104.248.249.47/student/post,38,0,0
1554454094717,35,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-29,text,true,,446,126,2,2,http://104.248.249.47/student/get,35,0,0
1554454094705,62,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-30,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,62,0,30
