timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554454347836,118,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,116,0,58
1554454347976,44,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,240,254,1,1,http://104.248.249.47/student/post,43,0,0
1554454348096,31,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,446,126,1,1,http://104.248.249.47/student/get,31,0,0
1554454348130,33,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,32,0,0
1554454348674,68,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,68,0,34
1554454348746,31,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,240,254,1,1,http://104.248.249.47/student/post,31,0,0
1554454348779,32,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,446,126,1,1,http://104.248.249.47/student/get,32,0,0
1554454348815,33,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,4664,135,1,1,http://104.248.249.47/student/GetHtml?id=2,33,0,0
1554454349677,66,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,66,0,33
1554454349746,33,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,240,254,1,1,http://104.248.249.47/student/post,33,0,0
1554454349781,32,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,446,126,1,1,http://104.248.249.47/student/get,32,0,0
1554454349817,33,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,4666,135,1,1,http://104.248.249.47/student/GetHtml?id=3,33,0,0
1554454350673,65,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,65,0,32
1554454350743,32,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,240,254,1,1,http://104.248.249.47/student/post,32,0,0
1554454350777,33,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,446,126,1,1,http://104.248.249.47/student/get,33,0,0
1554454350814,34,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,4664,135,1,1,http://104.248.249.47/student/GetHtml?id=4,34,0,0
1554454351675,67,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,66,0,34
1554454351744,34,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,240,254,1,1,http://104.248.249.47/student/post,33,0,0
1554454351779,32,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,446,126,1,1,http://104.248.249.47/student/get,32,0,0
1554454351818,32,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,4662,135,1,1,http://104.248.249.47/student/GetHtml?id=5,32,0,0
1554454352673,77,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,77,0,39
1554454352752,38,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,240,254,1,1,http://104.248.249.47/student/post,37,0,0
1554454352791,40,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,446,126,1,1,http://104.248.249.47/student/get,40,0,0
1554454352834,38,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,4621,136,1,1,http://104.248.249.47/student/GetHtml?id=42,38,0,0
1554454353665,67,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-7,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,67,0,32
1554454353733,32,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-7,text,true,,240,254,1,1,http://104.248.249.47/student/post,32,0,0
1554454353767,32,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-7,text,true,,446,126,1,1,http://104.248.249.47/student/get,32,0,0
