timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554447534890,73,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,73,0,35
1554447534963,35,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,240,254,1,1,http://104.248.249.47/student/post,35,0,0
1554447534998,34,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,446,126,1,1,http://104.248.249.47/student/get,34,0,0
1554447535032,35,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,35,0,0
1554447535889,60,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,59,0,30
1554447535949,29,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,240,254,1,1,http://104.248.249.47/student/post,29,0,0
1554447535978,27,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,446,126,1,1,http://104.248.249.47/student/get,27,0,0
1554447536006,28,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,4664,135,1,1,http://104.248.249.47/student/GetHtml?id=2,28,0,0
1554447536889,69,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,69,0,34
1554447536959,35,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,240,254,1,1,http://104.248.249.47/student/post,35,0,0
1554447536994,33,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,446,126,1,1,http://104.248.249.47/student/get,33,0,0
1554447537027,35,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,4666,135,1,1,http://104.248.249.47/student/GetHtml?id=3,35,0,0
1554447537889,71,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,71,0,36
1554447537961,35,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,240,254,1,1,http://104.248.249.47/student/post,35,0,0
1554447537997,34,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,446,126,1,1,http://104.248.249.47/student/get,34,0,0
1554447538032,35,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,4664,135,1,1,http://104.248.249.47/student/GetHtml?id=4,35,0,0
1554447538889,72,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,72,0,36
1554447538961,35,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,240,254,1,1,http://104.248.249.47/student/post,35,0,0
1554447538996,34,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,446,126,1,1,http://104.248.249.47/student/get,34,0,0
1554447539030,34,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,4662,135,1,1,http://104.248.249.47/student/GetHtml?id=5,34,0,0
1554447539889,73,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,73,0,36
1554447539963,35,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,240,254,1,1,http://104.248.249.47/student/post,35,0,0
1554447539998,34,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,446,126,1,1,http://104.248.249.47/student/get,34,0,0
